route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Bhayandar Station East,3,60,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Borivali Station West,6,60,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Choksi Hospital,15,75,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Dahisar Bridge,1,15,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Goregaon Oshiwara Depot,6,30,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Kach Pada,18,90,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Kandivali Station Road West,20,200,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Kashi Mira,1,20,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Ketaki Pada,2,30,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Kora Kendra,1,10,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Malad Depot,7,35,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Mary Immaculate School,2,30,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Orlem Church Or Valnai Village,46,230,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Poisar Depot,7,70,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Shastri Nagar,9,45,,,,,,,,,,,,,,,,,,,,,,
7071,Bangur Nagar,Swatantraveer Savarkar Chowk Or Golden Nest,4,80,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Bhayandar Station East,6,90,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Borivali Station West Or Jaya Talkies,26,130,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Choksi Hospital,20,200,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Dahisar Bridge,11,55,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Golden Chemicals,24,120,,,,,,,,,,,,,,,,,,,,,,
7071,Bhagwati Hospital,Goregaon Oshiwara Depot,3,45.16,,,,,,,,,,,,,,,,,,,,,,
