route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Borivali Station East,63,630,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Dahisar Station Road East,204,1020.06,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Daulat Nagar,13,130,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Golden Chemicals,25,125,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Ketaki Pada,42,210.06,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Magathane Depot,20,200,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Magathane Telecom Exchange,12,120,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Novelty Silk Mill,21,105,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Omkareshwar Mandir,9,90,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Royal College,2,10,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Samata Nagar Bus Station Kandivali East,31,465,,,,,,,,,,,,,,,,,,,,,,
7035,Apna Bazar,Thakur Cinema,6,90,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Apna Bazar,2,30,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Dahisar Station Road East,87,435,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Daulat Nagar,1,5,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Golden Chemicals,331,1655,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Jammu And Kashmir Bank Or Jangid Circle,49,490,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Kashi Mira,114,1140,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Ketaki Pada,79,395,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Magathane Depot,69,345,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Magathane Telecom Exchange,7,35,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Mira Road Station East,30,300,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Novelty Silk Mill,73,365,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Omkareshwar Mandir,4,20,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Royal College,3,45,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Samata Nagar Bus Station Kandivali East,1112,5560,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Thakur Cinema,14,70,,,,,,,,,,,,,,,,,,,,,,
7035,Borivali Station East,Transport Corporation,69,690,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Apna Bazar,14,140,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Borivali Station East,241,1205,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Daulat Nagar,5,25,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Golden Chemicals,141,705,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Jammu And Kashmir Bank Or Jangid Circle,45,450,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Kashi Mira,338,1690.06,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Ketaki Pada,35,175,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Magathane Depot,160,800,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Magathane Telecom Exchange,106,530,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Mira Road Station East,30,300,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Novelty Silk Mill,6,30,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Omkareshwar Mandir,22,110,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Royal College,12,120,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Royal Complex,1,15,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Samata Nagar Bus Station Kandivali East,87,880,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Thakur Cinema,17,170,,,,,,,,,,,,,,,,,,,,,,
7035,Dahisar Station Road East,Transport Corporation,113,565,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Apna Bazar,1,15,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Borivali Station East,10,50,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Dahisar Station Road East,12,60,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Golden Chemicals,102,510,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Jammu And Kashmir Bank Or Jangid Circle,45,450,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Kashi Mira,33,330,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Ketaki Pada,17,85,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Magathane Depot,13,65,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Magathane Telecom Exchange,18,90,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Mira Road Station East,24,240,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Novelty Silk Mill,44,220.06,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Omkareshwar Mandir,4,20,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Royal College,4,60,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Samata Nagar Bus Station Kandivali East,8,80,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Thakur Cinema,34,170,,,,,,,,,,,,,,,,,,,,,,
7035,Daulat Nagar,Transport Corporation,115,575,,,,,,,,,,,,,,,,,,,,,,
7035,Golden Chemicals,Apna Bazar,4,40,,,,,,,,,,,,,,,,,,,,,,
7035,Golden Chemicals,Borivali Station East,342,1710,,,,,,,,,,,,,,,,,,,,,,
7035,Golden Chemicals,Dahisar Station Road East,99,495,,,,,,,,,,,,,,,,,,,,,,
