route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Dahisar Station Road East,120,720.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Ghobandar Village,159,2067,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Golden Chemicals,153,918.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Kashi Mira,118,1534,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Ketaki Pada,44,264.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Magathane Depot,78,468,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Novelty Silk Mill,69,414,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Omkareshwar Mandir,2,12,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Transport Corporation,50,650,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Western Hotel Or Lakshmi Baug,58,754,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Borivali Station East,119,714,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Daulat Nagar,4,24,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Ghobandar Village,94,1222,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Golden Chemicals,85,510,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Kashi Mira,75,450.07,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Ketaki Pada,7,42,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Magathane Depot,113,678.07,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Novelty Silk Mill,2,12,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Omkareshwar Mandir,16,96,,,,,,,,,,,,,,,,,,,,,,
