route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Bhayandar Pada,17,85,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Borivali Station East,103,2060,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Cadbury Junction Thane,25,250,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Chena Bridge,12,120,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Dnyansadhana College Kopari,2,20,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Gaimukh,22,110,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Gartan Pada,25,500,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Golden Chemicals,7,105,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Jain Mandir Versova,1,10,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Kajupada,14,140,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Kapur Bawdi,49,245,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Kashi Mira,39,585,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Louis Wadi,55,550,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Magathane Depot,39,780,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Majiwada,13,130,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Manpada,46,230,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Marathon Chowk Teen Hath Naka,45,450,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Nency Colony,6,120,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Omkareshwar Mandir,5,100,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Ovale Village,3,15,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Patli Pada,11,55,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Thane Station East,29,435,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Transport Corporation,3,45,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Versova Bridge,19,190,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Waghbil,1,5,,,,,,,,,,,,,,,,,,,,,,
7006,Anand Nagar,Western Hotel Or Lakshmi Baug,3,45,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Anand Nagar,19,95,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Borivali Station East,13,260,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Cadbury Junction Thane,18,180,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Chena Bridge,2,10,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Gartan Pada,10,150,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Kajupada,2,10,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Kapur Bawdi,29,290,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Kashi Mira,20,200,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Louis Wadi,13,195,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Magathane Depot,9,180,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Majiwada,19,190,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Manpada,21,210,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Marathon Chowk Teen Hath Naka,6,90,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Nency Colony,1,15,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Omkareshwar Mandir,6,90,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Patli Pada,28,140,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Thane Station East,38,570,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Transport Corporation,1,15,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Versova Bridge,2,20,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Waghbil,11,55,,,,,,,,,,,,,,,,,,,,,,
7006,Bhayandar Pada,Western Hotel Or Lakshmi Baug,1,10,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Anand Nagar,82,1640,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Bhayandar Pada,10,200,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Cadbury Junction Thane,33,660,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Chena Bridge,19,285,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Gaimukh,8,120,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Gartan Pada,7,35,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Ghodbunder Village Junction,2,20,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Golden Chemicals,38,190,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Jain Mandir Versova,6,60,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Kajupada,18,270,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Kapur Bawdi,82,1640,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Kashi Mira,30,300,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Louis Wadi,40,800,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Magathane Depot,435,2175,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Majiwada,61,1220,,,,,,,,,,,,,,,,,,,,,,
7006,Borivali Station East,Manpada,53,1060,,,,,,,,,,,,,,,,,,,,,,
