route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Babhai Naka,4,40,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Bhagwati Hospital,3,30,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Bhayandar Station East,5,100,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Borivali Station West,39,390,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Dahisar Bridge,1,15,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Don Bosco School,4,40,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Golden Chemicals,4,60,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Gorai Bridge,8,40,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Gorai Depot,43,215,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Hindustan Steel Company Or Chaudhary Charan Singh Chowk,8,40,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Kashimira Telephone Exchange,5,75,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Ketaki Pada,2,30,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,M H B Colony,22,110,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Malvani Block No 5 Or Police Station,2,10,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Malvani Depot Or Gaikwad Nagar,93,465,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Mary Immaculate School,6,60,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Prabodhankar Thakre Nagar Bus Station,9,45,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,S K Stone,2,40,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Sahyadri Nagar,3,15,,,,,,,,,,,,,,,,,,,,,,
7201,Asmita Jyoti,Swatantraveer Savarkar Chowk Or Golden Nest,12,240,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Asmita Jyoti,1,10,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Bhagwati Hospital,3,15,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Bhayandar Station East,1,15,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Borivali Station West,8,40,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Dahisar Bridge,21,105,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Don Bosco School,1,5,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Golden Chemicals,3,30,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Gorai Bridge,12,60,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Gorai Depot,2,10,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Hindustan Steel Company Or Chaudhary Charan Singh Chowk,23,115,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Kandivali Industrial Colony Or Ganesh Nagar,7,70,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Kashimira Telephone Exchange,1,10,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Ketaki Pada,2,20,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,M H B Colony,3,15,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Malvani Block No 5 Or Police Station,1,10,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Malvani Depot Or Gaikwad Nagar,15,150,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Mary Immaculate School,11,55,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Novelty Silk Mill,4,40,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Prabodhankar Thakre Nagar Bus Station,7,35,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,S K Stone,12,120,,,,,,,,,,,,,,,,,,,,,,
7201,Babhai Naka,Sahyadri Nagar,7,35,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Asmita Jyoti,2,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Babhai Naka,17,85,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Bhayander Phatak Or Police Station,3,30,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Borivali Bus Station West,13,65,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Dahisar Bridge,5,25,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Don Bosco School,9,45,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Golden Chemicals,26,130,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Gorai Bridge,16,80,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Gorai Depot,1,5,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Hindustan Steel Company Or Chaudhary Charan Singh Chowk,3,30,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Kandivali Industrial Colony Or Ganesh Nagar,3,30,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Kashimira Telephone Exchange,5,50,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Ketaki Pada,4,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,M H B Colony,3,15,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Malvani Block No 5 Or Police Station,12,120,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Malvani Depot Or Gaikwad Nagar,17,255,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Novelty Silk Mill,3,15,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Prabodhankar Thakre Nagar Bus Station,1,10,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,S K Stone,14,140,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Sahyadri Nagar,2,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhagwati Hospital,Swatantraveer Savarkar Chowk Or Golden Nest,7,70,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Bhayandar Station East,136,680,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Borivali Bus Station West,1,15,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Dahisar Bridge,2,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Golden Chemicals,4,40,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Kashimira Telephone Exchange,43,215,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Ketaki Pada,7,70,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Malvani Block No 5 Or Police Station,1,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Malvani Depot Or Gaikwad Nagar,3,60,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Mary Immaculate School,1,10,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Novelty Silk Mill,2,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,S K Stone,16,80,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Phatak Or Police Station,Sahyadri Nagar,1,20,,,,,,,,,,,,,,,,,,,,,,
7201,Bhayander Station East,Asmita Jyoti,1,20,,,,,,,,,,,,,,,,,,,,,,
