route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Bhayander Phatak Or Police Station,55,275,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Borivali Station East,8,120,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Dahisar Station Road East,53,530,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Daulat Nagar,12,180,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Goddev Naka,18,90,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Golden Chemicals,44,440,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Kashi Mira,210,2100,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Ketaki Pada,32,320,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Magathane Depot,21,315,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Novelty Silk Mill,20,200,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Omkareshwar Mandir,2,30,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,S K Stone,1248,6240,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Swatantraveer Savarkar Chowk Or Golden Nest,77,385,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayandar Station East,Transport Corporation,62,620,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Bhayandar Station East,355,1775,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Borivali Station East,17,170,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Dahisar Station Road East,15,150,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Daulat Nagar,8,80,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Golden Chemicals,8,80,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Kashi Mira,107,535,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Ketaki Pada,4,40,,,,,,,,,,,,,,,,,,,,,,
7091,Bhayander Phatak Or Police Station,Magathane Depot,7,105,,,,,,,,,,,,,,,,,,,,,,
