route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Dahisar Station Road East,120,720.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Ghodbunder Village,159,2067,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Golden Chemicals,153,918.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Kashimira,118,1534,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Ketaki Pada,44,264.07,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Magathane Depot,78,468,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Novelty Silk Mill,69,414,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Omkareshwar Mandir,2,12,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Transport Corporation,50,650,,,,,,,,,,,,,,,,,,,,,,
7027,Borivali Station East,Western Hotel Laxmi Baug,58,754,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Borivali Station East,119,714,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Daulat Nagar,4,24,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Ghodbunder Village,94,1222,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Golden Chemicals,85,510,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Kashimira,75,450.07,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Ketaki Pada,7,42,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Magathane Depot,113,678.07,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Novelty Silk Mill,2,12,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Omkareshwar Mandir,16,96,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Transport Corporation,96,576,,,,,,,,,,,,,,,,,,,,,,
7027,Dahisar Station Road East,Western Hotel Laxmi Baug,93,558,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Borivali Station East,7,42,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Dahisar Station Road East,16,96,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Ghodbunder Village,47,611,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Golden Chemicals,34,204,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Kashimira,13,169,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Ketaki Pada,8,48,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Magathane Depot,15,90,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Novelty Silk Mill,11,66,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Transport Corporation,36,216,,,,,,,,,,,,,,,,,,,,,,
7027,Daulat Nagar,Western Hotel Laxmi Baug,18,234,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Borivali Station East,201,2613,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Dahisar Station Road East,79,1027,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Daulat Nagar,37,481,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Golden Chemicals,69,414,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Kashimira,186,1116,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Ketaki Pada,301,1806,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Magathane Depot,22,418,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Novelty Silk Mill,8,104,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Omkareshwar Mandir,17,221,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Transport Corporation,50,300,,,,,,,,,,,,,,,,,,,,,,
7027,Ghodbunder Village,Western Hotel Laxmi Baug,6,36,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Borivali Station East,108,648,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Dahisar Station Road East,36,216,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Daulat Nagar,7,42,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Ghodbunder Village,142,852,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Kashimira,10,60,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Ketaki Pada,2,12.07,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Magathane Depot,16,208,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Novelty Silk Mill,4,24,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Omkareshwar Mandir,3,39,,,,,,,,,,,,,,,,,,,,,,
7027,Golden Chemicals,Western Hotel Laxmi Baug,5,30,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Borivali Station East,58,754,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Dahisar Station Road East,56,336,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Daulat Nagar,13,169,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Ghodbunder Village,249,1494,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Golden Chemicals,6,36,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Ketaki Pada,23,138,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Magathane Depot,9,117,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Novelty Silk Mill,20,120,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Omkareshwar Mandir,2,26,,,,,,,,,,,,,,,,,,,,,,
7027,Kashimira,Western Hotel Laxmi Baug,1,6,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Borivali Station East,74,444,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Dahisar Station Road East,9,54,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Daulat Nagar,6,36,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Ghodbunder Village,249,1494.07,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Golden Chemicals,2,12,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Kashimira,32,192,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Magathane Depot,3,39,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Novelty Silk Mill,1,6,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Omkareshwar Mandir,4,24,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Transport Corporation,9,54,,,,,,,,,,,,,,,,,,,,,,
7027,Ketaki Pada,Western Hotel Laxmi Baug,27,162,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Borivali Station East,85,510,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Dahisar Station Road East,35,210,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Daulat Nagar,6,36,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Ghodbunder Village,15,285,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Golden Chemicals,3,39,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Kashimira,24,312,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Ketaki Pada,7,91,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Novelty Silk Mill,69,414,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Omkareshwar Mandir,10,60,,,,,,,,,,,,,,,,,,,,,,
7027,Magathane Depot,Transport Corporation,17,221,,,,,,,,,,,,,,,,,,,,,,
