route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Bhayander Phatak Or Police Station,129,645,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Bishop School,48,240,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Borivali Station East,2,30,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Dahisar Station Road East,1,15,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Daulat Nagar,2,30,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Golden Chemicals,55,550,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Ketaki Pada,3,30,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Magathane Depot,7,105,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Mira Road Station East,13,130,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Novelty Silk Mill,28,280,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Omkareshwar Mandir,3,45,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Poonam Sagar Complex,10,100,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayandar Railway Station West,Srushti,5,50,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Bhayandar Railway Station West,23,115,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Bishop School,1,5,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Borivali Station East,6,60,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Dahisar Station Road East,2,20,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Daulat Nagar,5,50,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Golden Chemicals,194,970,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Ketaki Pada,5,50.11,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Magathane Depot,4,60,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Mira Bhayandar Mahanagar Palika,3,15,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Mira Road Station East,17,85,,,,,,,,,,,,,,,,,,,,,,
7101,Bhayander Phatak Or Police Station,Novelty Silk Mill,3,30,,,,,,,,,,,,,,,,,,,,,,
