,start_lat,start_long,from_stop_name,from_lat,from_long,to_stop_name,to_lat,to_long,end_lat,end_long
0,72.96664346073631,19.265421428900176,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.9686927009615,19.263435000721955
1,72.9686780766523,19.263764561477874,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96648729351978,19.262808975139702
2,72.9663206,19.2640474,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96813679154711,19.265080038531497
3,72.9678376503433,19.265718107182487,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96664346073631,19.265421428900176
4,72.96894963071708,19.263074696508188,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.9678376503433,19.265718107182487
5,72.9676026,19.265859750000004,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96789734771727,19.265583600218488
6,72.9661499,19.26457955,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.9671314661234,19.264029528926656
7,72.96813679154711,19.265080038531497,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96958916251423,19.2631086892352
8,72.96680661729975,19.265562720974724,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.967038145322,19.262802220067954
9,72.96761810379193,19.262938065805013,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96893865283599,19.266567238443116
10,72.96758068030361,19.26338912218834,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96939068818419,19.264081470953254
11,72.96666939502113,19.264573184810025,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96697069589989,19.264324509112353
12,72.9686927009615,19.263435000721955,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96653520842175,19.26490960188439
13,72.9672382,19.2643374,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.9663206,19.2640474
14,72.96743112905442,19.266563641485753,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96960155000001,19.263639799999996
15,72.9666803,19.2649046,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.9672382,19.2643374
16,72.96958916251423,19.2631086892352,anand nagar,19.264687,72.967836,bhayandar pada,19.264687,72.967836,72.96666939502113,19.264573184810025
17,72.9672382,19.2643374,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.9672382,19.2643374
18,72.9666803,19.2649046,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.9666803,19.2649046
19,72.96930261657882,19.263598845917315,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.96930261657882,19.263598845917315
20,72.9686927009615,19.263435000721955,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.9686927009615,19.263435000721955
21,72.96891631327173,19.263514173877276,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.96891631327173,19.263514173877276
22,72.9686780766523,19.263764561477874,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.9686780766523,19.263764561477874
23,72.96894963071708,19.263074696508188,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.96894963071708,19.263074696508188
24,72.96958916251423,19.2631086892352,anand nagar,19.264687,72.967836,borivali station east,19.264687,72.967836,72.96958916251423,19.2631086892352
