,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,direction,from_stop_no,from_lat,from_long,to_lat,to_long,to_stop_no
0,7091,bhayandar station east,bhayander phatak or police station,55,275,down,65,19.312319,72.853463,19.29886,72.854937,56
1,7091,borivali station east,bhayander phatak or police station,10,100,up,5,19.227846,72.857949,19.29886,72.854937,56
2,7091,dahisar station road east,bhayander phatak or police station,17,170,up,14,19.248635,72.862483,19.29886,72.854937,56
3,7091,daulat nagar,bhayander phatak or police station,19,190,up,10,19.236447,72.85918,19.29886,72.854937,56
4,7091,goddev naka,bhayander phatak or police station,3,15,down,59,19.304029,72.858854,19.29886,72.854937,56
5,7091,golden chemicals,bhayander phatak or police station,17,170,up,15,19.263041,72.873794,19.29886,72.854937,56
6,7091,kashimira,bhayander phatak or police station,104,520,up,19,19.27301,72.883464,19.29886,72.854937,56
7,7091,ketaki pada,bhayander phatak or police station,20,200,up,18,19.255893,72.869232,19.29886,72.854937,56
8,7091,magathane depot,bhayander phatak or police station,7,105,up,0,19.221336,72.866122,19.29886,72.854937,56
9,7091,novelty silk mill,bhayander phatak or police station,14,140.11,up,17,19.254763,72.867036,19.29886,72.854937,56
10,7091,omkareshwar mandir,bhayander phatak or police station,1,15,up,7,19.231425,72.862322,19.29886,72.854937,56
11,7091,s k stone,bhayander phatak or police station,29,145,up,49,19.285163,72.869654,19.29886,72.854937,56
12,7091,transport corporation,bhayander phatak or police station,52,260,up,18,19.269584,72.878662,19.29886,72.854937,56
13,7091,bhayandar station east,borivali station east,8,120,down,65,19.312319,72.853463,19.227846,72.857949,5
14,7091,bhayander phatak or police station,borivali station east,17,170,down,56,19.29886,72.854937,19.227846,72.857949,5
15,7091,dahisar station road east,borivali station east,174,870,down,14,19.248635,72.862483,19.227846,72.857949,5
16,7091,daulat nagar,borivali station east,10,50,down,10,19.236447,72.85918,19.227846,72.857949,5
17,7091,goddev naka,borivali station east,6,90,down,59,19.304029,72.858854,19.227846,72.857949,5
18,7091,golden chemicals,borivali station east,527,2635,down,15,19.263041,72.873794,19.227846,72.857949,5
19,7091,kashimira,borivali station east,189,1890.11,down,19,19.27301,72.883464,19.227846,72.857949,5
20,7091,ketaki pada,borivali station east,161,805,down,18,19.255893,72.869232,19.227846,72.857949,5
21,7091,magathane depot,borivali station east,133,665,up,0,19.221336,72.866122,19.227846,72.857949,5
22,7091,novelty silk mill,borivali station east,92,460,down,17,19.254763,72.867036,19.227846,72.857949,5
23,7091,omkareshwar mandir,borivali station east,5,25,down,7,19.231425,72.862322,19.227846,72.857949,5
24,7091,s k stone,borivali station east,171,1710,down,49,19.285163,72.869654,19.227846,72.857949,5
25,7091,transport corporation,borivali station east,210,2100,down,18,19.269584,72.878662,19.227846,72.857949,5
26,7091,bhayandar station east,dahisar station road east,53,530,down,65,19.312319,72.853463,19.248635,72.862483,14
27,7091,bhayander phatak or police station,dahisar station road east,15,150,down,56,19.29886,72.854937,19.248635,72.862483,14
28,7091,borivali station east,dahisar station road east,128,640,up,5,19.227846,72.857949,19.248635,72.862483,14
29,7091,daulat nagar,dahisar station road east,24,120,up,10,19.236447,72.85918,19.248635,72.862483,14
30,7091,goddev naka,dahisar station road east,15,150,down,59,19.304029,72.858854,19.248635,72.862483,14
31,7091,golden chemicals,dahisar station road east,106,530,down,15,19.263041,72.873794,19.248635,72.862483,14
32,7091,kashimira,dahisar station road east,282,1410.06,down,19,19.27301,72.883464,19.248635,72.862483,14
33,7091,ketaki pada,dahisar station road east,10,50,down,18,19.255893,72.869232,19.248635,72.862483,14
34,7091,magathane depot,dahisar station road east,151,755,up,0,19.221336,72.866122,19.248635,72.862483,14
35,7091,omkareshwar mandir,dahisar station road east,22,110,up,7,19.231425,72.862322,19.248635,72.862483,14
36,7091,s k stone,dahisar station road east,71,710,down,49,19.285163,72.869654,19.248635,72.862483,14
37,7091,transport corporation,dahisar station road east,271,1355,down,18,19.269584,72.878662,19.248635,72.862483,14
38,7091,bhayandar station east,daulat nagar,12,180,down,65,19.312319,72.853463,19.236447,72.85918,10
39,7091,bhayander phatak or police station,daulat nagar,8,80,down,56,19.29886,72.854937,19.236447,72.85918,10
40,7091,borivali station east,daulat nagar,1,5,up,5,19.227846,72.857949,19.236447,72.85918,10
41,7091,dahisar station road east,daulat nagar,9,45,down,14,19.248635,72.862483,19.236447,72.85918,10
42,7091,goddev naka,daulat nagar,12,120,down,59,19.304029,72.858854,19.236447,72.85918,10
43,7091,golden chemicals,daulat nagar,19,95,down,15,19.263041,72.873794,19.236447,72.85918,10
44,7091,kashimira,daulat nagar,33,330,down,19,19.27301,72.883464,19.236447,72.85918,10
45,7091,ketaki pada,daulat nagar,5,25,down,18,19.255893,72.869232,19.236447,72.85918,10
46,7091,magathane depot,daulat nagar,3,15,up,0,19.221336,72.866122,19.236447,72.85918,10
47,7091,novelty silk mill,daulat nagar,25,125,down,17,19.254763,72.867036,19.236447,72.85918,10
48,7091,omkareshwar mandir,daulat nagar,4,20,up,7,19.231425,72.862322,19.236447,72.85918,10
49,7091,s k stone,daulat nagar,44,440,down,49,19.285163,72.869654,19.236447,72.85918,10
