,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
0,7051,bandongri,borivali station east,126,630,25037,19.199869,72.860876,19.199869,72.860876
1,7051,bandongri,dahisar station road east,15,150,25037,19.199869,72.860876,19.199869,72.860876
2,7051,bandongri,daulat nagar,5,50,25037,19.199869,72.860876,19.199869,72.860876
3,7051,bandongri,dindoshi bus station,444,2220,25037,19.199869,72.860876,19.199869,72.860876
4,7051,bandongri,general arun kumar vaidya marg junction,5,25,25037,19.199869,72.860876,19.199869,72.860876
5,7051,bandongri,golden chemicals,8,80,25037,19.199869,72.860876,19.199869,72.860876
6,7051,bandongri,kashi mira,9,135,25037,19.199869,72.860876,19.199869,72.860876
7,7051,bandongri,ketaki pada,4,40,25037,19.199869,72.860876,19.199869,72.860876
8,7051,bandongri,kurar village,6,30,25037,19.199869,72.860876,19.199869,72.860876
9,7051,bandongri,magathane depot,35,175,25037,19.199869,72.860876,19.199869,72.860876
10,7051,bandongri,magathane telecom exchange,21,105,25037,19.199869,72.860876,19.199869,72.860876
11,7051,bandongri,mahindra company gate or b h a d colony,1,5,25037,19.199869,72.860876,19.199869,72.860876
12,7051,bandongri,novelty silk mill,25,250,25037,19.199869,72.860876,19.199869,72.860876
13,7051,bandongri,omkareshwar mandir,58,290.12,25037,19.199869,72.860876,19.199869,72.860876
14,7051,bandongri,st xaviers high school,7,105,25037,19.199869,72.860876,19.199869,72.860876
15,7051,bandongri,transport corporation,7,70,25037,19.199869,72.860876,19.199869,72.860876
16,7051,bandongri,western park,18,270,25037,19.199869,72.860876,19.199869,72.860876
17,7051,borivali station east,bandongri,183,915.06,29097,19.227846,72.857949,19.227846,72.857949
18,7051,borivali station east,dahisar station road east,100,500.06,29097,19.227846,72.857949,19.227846,72.857949
19,7051,borivali station east,daulat nagar,1,5,29097,19.227846,72.857949,19.227846,72.857949
20,7051,borivali station east,dindoshi bus station,113,1130,29097,19.227846,72.857949,19.227846,72.857949
21,7051,borivali station east,general arun kumar vaidya marg junction,9,90,29097,19.227846,72.857949,19.227846,72.857949
22,7051,borivali station east,golden chemicals,181,905,29097,19.227846,72.857949,19.227846,72.857949
23,7051,borivali station east,kashi mira,36,360.11,29097,19.227846,72.857949,19.227846,72.857949
24,7051,borivali station east,ketaki pada,46,230,29097,19.227846,72.857949,19.227846,72.857949
25,7051,borivali station east,kurar village,26,260,29097,19.227846,72.857949,19.227846,72.857949
26,7051,borivali station east,magathane depot,59,295,29097,19.227846,72.857949,19.227846,72.857949
27,7051,borivali station east,magathane telecom exchange,49,245,29097,19.227846,72.857949,19.227846,72.857949
28,7051,borivali station east,mahindra company gate or b h a d colony,170,850,29097,19.227846,72.857949,19.227846,72.857949
29,7051,borivali station east,novelty silk mill,16,80,29097,19.227846,72.857949,19.227846,72.857949
30,7051,borivali station east,omkareshwar mandir,5,25,29097,19.227846,72.857949,19.227846,72.857949
