,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
0,7035,apna bazar,borivali station east,63,630,29021,19.275396,72.867557,19.275396,72.867557
1,7035,apna bazar,dahisar station road east,204,1020.06,29021,19.275396,72.867557,19.275396,72.867557
2,7035,apna bazar,daulat nagar,13,130,29021,19.275396,72.867557,19.275396,72.867557
3,7035,apna bazar,golden chemicals,25,125,29021,19.275396,72.867557,19.275396,72.867557
4,7035,apna bazar,ketaki pada,42,210.06,29021,19.275396,72.867557,19.275396,72.867557
5,7035,apna bazar,magathane depot,20,200,29021,19.275396,72.867557,19.275396,72.867557
6,7035,apna bazar,magathane telecom exchange,12,120,29021,19.275396,72.867557,19.275396,72.867557
7,7035,apna bazar,novelty silk mill,21,105,29021,19.275396,72.867557,19.275396,72.867557
8,7035,apna bazar,omkareshwar mandir,9,90,29021,19.275396,72.867557,19.275396,72.867557
9,7035,apna bazar,royal college,2,10,29021,19.275396,72.867557,19.275396,72.867557
10,7035,apna bazar,samata nagar bus station kandivali east,31,465,29021,19.275396,72.867557,19.275396,72.867557
11,7035,apna bazar,thakur cinema,6,90,29021,19.275396,72.867557,19.275396,72.867557
12,7035,borivali station east,apna bazar,2,30,29097,19.227846,72.857949,19.227846,72.857949
13,7035,borivali station east,dahisar station road east,87,435,29097,19.227846,72.857949,19.227846,72.857949
14,7035,borivali station east,daulat nagar,1,5,29097,19.227846,72.857949,19.227846,72.857949
15,7035,borivali station east,golden chemicals,331,1655,29097,19.227846,72.857949,19.227846,72.857949
16,7035,borivali station east,jammu and kashmir bank or jangid circle,49,490,29097,19.227846,72.857949,19.227846,72.857949
17,7035,borivali station east,kashi mira,114,1140,29097,19.227846,72.857949,19.227846,72.857949
18,7035,borivali station east,ketaki pada,79,395,29097,19.227846,72.857949,19.227846,72.857949
19,7035,borivali station east,magathane depot,69,345,29097,19.227846,72.857949,19.227846,72.857949
20,7035,borivali station east,magathane telecom exchange,7,35,29097,19.227846,72.857949,19.227846,72.857949
21,7035,borivali station east,mira road station east,30,300,29097,19.227846,72.857949,19.227846,72.857949
22,7035,borivali station east,novelty silk mill,73,365,29097,19.227846,72.857949,19.227846,72.857949
23,7035,borivali station east,omkareshwar mandir,4,20,29097,19.227846,72.857949,19.227846,72.857949
24,7035,borivali station east,royal college,3,45,29097,19.227846,72.857949,19.227846,72.857949
25,7035,borivali station east,samata nagar bus station kandivali east,1112,5560,29097,19.227846,72.857949,19.227846,72.857949
26,7035,borivali station east,thakur cinema,14,70,29097,19.227846,72.857949,19.227846,72.857949
27,7035,borivali station east,transport corporation,69,690,29097,19.227846,72.857949,19.227846,72.857949
28,7035,dahisar station road east,apna bazar,14,140,29114,19.248635,72.862483,19.248635,72.862483
29,7035,dahisar station road east,borivali station east,241,1205,29114,19.248635,72.862483,19.248635,72.862483
30,7035,dahisar station road east,daulat nagar,5,25,29114,19.248635,72.862483,19.248635,72.862483
31,7035,dahisar station road east,golden chemicals,141,705,29114,19.248635,72.862483,19.248635,72.862483
32,7035,dahisar station road east,jammu and kashmir bank or jangid circle,45,450,29114,19.248635,72.862483,19.248635,72.862483
33,7035,dahisar station road east,kashi mira,338,1690.06,29114,19.248635,72.862483,19.248635,72.862483
34,7035,dahisar station road east,ketaki pada,35,175,29114,19.248635,72.862483,19.248635,72.862483
35,7035,dahisar station road east,magathane depot,160,800,29114,19.248635,72.862483,19.248635,72.862483
36,7035,dahisar station road east,magathane telecom exchange,106,530,29114,19.248635,72.862483,19.248635,72.862483
37,7035,dahisar station road east,mira road station east,30,300,29114,19.248635,72.862483,19.248635,72.862483
38,7035,dahisar station road east,novelty silk mill,6,30,29114,19.248635,72.862483,19.248635,72.862483
39,7035,dahisar station road east,omkareshwar mandir,22,110,29114,19.248635,72.862483,19.248635,72.862483
40,7035,dahisar station road east,royal college,12,120,29114,19.248635,72.862483,19.248635,72.862483
41,7035,dahisar station road east,royal complex,1,15,29114,19.248635,72.862483,19.248635,72.862483
42,7035,dahisar station road east,samata nagar bus station kandivali east,87,880,29114,19.248635,72.862483,19.248635,72.862483
43,7035,dahisar station road east,thakur cinema,17,170,29114,19.248635,72.862483,19.248635,72.862483
44,7035,dahisar station road east,transport corporation,113,565,29114,19.248635,72.862483,19.248635,72.862483
45,7035,daulat nagar,apna bazar,1,15,29123,19.236447,72.859180,19.236447,72.859180
46,7035,daulat nagar,borivali station east,10,50,29123,19.236447,72.859180,19.236447,72.859180
47,7035,daulat nagar,dahisar station road east,12,60,29123,19.236447,72.859180,19.236447,72.859180
48,7035,daulat nagar,golden chemicals,102,510,29123,19.236447,72.859180,19.236447,72.859180
49,7035,daulat nagar,jammu and kashmir bank or jangid circle,45,450,29123,19.236447,72.859180,19.236447,72.859180
50,7035,daulat nagar,kashi mira,33,330,29123,19.236447,72.859180,19.236447,72.859180
51,7035,daulat nagar,ketaki pada,17,85,29123,19.236447,72.859180,19.236447,72.859180
