,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
0,7061,balasaheb thakre trauma centre or srp camp,bandongri,26,260,33136,19.141831,72.854723,19.141831,72.854723
1,7061,balasaheb thakre trauma centre or srp camp,bhayandar station east,1,20,33136,19.141831,72.854723,19.141831,72.854723
2,7061,balasaheb thakre trauma centre or srp camp,general arun kumar vaidya marg junction,22,110,33136,19.141831,72.854723,19.141831,72.854723
3,7061,balasaheb thakre trauma centre or srp camp,goddev naka,1,20,33136,19.141831,72.854723,19.141831,72.854723
4,7061,balasaheb thakre trauma centre or srp camp,golden chemicals,5,75,33136,19.141831,72.854723,19.141831,72.854723
5,7061,balasaheb thakre trauma centre or srp camp,kamal amrohi studio,51,255,33136,19.141831,72.854723,19.141831,72.854723
6,7061,balasaheb thakre trauma centre or srp camp,kashi mira,12,180,33136,19.141831,72.854723,19.141831,72.854723
7,7061,balasaheb thakre trauma centre or srp camp,kurar village,30,150,33136,19.141831,72.854723,19.141831,72.854723
8,7061,balasaheb thakre trauma centre or srp camp,magathane depot,10,100,33136,19.141831,72.854723,19.141831,72.854723
9,7061,balasaheb thakre trauma centre or srp camp,magathane telecom exchange,4,40,33136,19.141831,72.854723,19.141831,72.854723
10,7061,balasaheb thakre trauma centre or srp camp,mahindra company gate or b h a d colony,7,70,33136,19.141831,72.854723,19.141831,72.854723
11,7061,balasaheb thakre trauma centre or srp camp,majas depot,25,125,33136,19.141831,72.854723,19.141831,72.854723
12,7061,balasaheb thakre trauma centre or srp camp,marol depot,55,550,33136,19.141831,72.854723,19.141831,72.854723
13,7061,balasaheb thakre trauma centre or srp camp,omkareshwar mandir,17,170,33136,19.141831,72.854723,19.141831,72.854723
14,7061,balasaheb thakre trauma centre or srp camp,seepz bus station,138,690,33136,19.141831,72.854723,19.141831,72.854723
15,7061,balasaheb thakre trauma centre or srp camp,seepz village,10,50,33136,19.141831,72.854723,19.141831,72.854723
16,7061,balasaheb thakre trauma centre or srp camp,swatantraveer savarkar chowk or golden nest,3,60,33136,19.141831,72.854723,19.141831,72.854723
17,7061,balasaheb thakre trauma centre or srp camp,transport corporation,1,15,33136,19.141831,72.854723,19.141831,72.854723
18,7061,balasaheb thakre trauma centre or srp camp,vanrai or mhada colony,13,65,33136,19.141831,72.854723,19.141831,72.854723
19,7061,bandongri,balasaheb thakre trauma centre or srp camp,19,190,25037,19.199869,72.860876,19.199869,72.860876
20,7061,bandongri,bhayandar station east,18,270,25037,19.199869,72.860876,19.199869,72.860876
21,7061,bandongri,bhayander phatak or police station,3,45,25037,19.199869,72.860876,19.199869,72.860876
22,7061,bandongri,gartan pada,13,130,25037,19.199869,72.860876,19.199869,72.860876
23,7061,bandongri,general arun kumar vaidya marg junction,26,130,25037,19.199869,72.860876,19.199869,72.860876
24,7061,bandongri,goddev naka,1,15,25037,19.199869,72.860876,19.199869,72.860876
25,7061,bandongri,golden chemicals,22,220,25037,19.199869,72.860876,19.199869,72.860876
26,7061,bandongri,goregaon check naka no 1,44,220,25037,19.199869,72.860876,19.199869,72.860876
27,7061,bandongri,kamal amrohi studio,9,90,25037,19.199869,72.860876,19.199869,72.860876
28,7061,bandongri,kashi mira,55,550,25037,19.199869,72.860876,19.199869,72.860876
29,7061,bandongri,kurar village,16,80,25037,19.199869,72.860876,19.199869,72.860876
30,7061,bandongri,magathane depot,32,160,25037,19.199869,72.860876,19.199869,72.860876
