,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
0,7186,bandongri,bhayandar station east,10,150,25037,19.199869,72.860876,19.199869,72.860876
1,7186,bandongri,bhayander phatak or police station,3,45,25037,19.199869,72.860876,19.199869,72.860876
2,7186,bandongri,dindoshi bus station,468,2340,25037,19.199869,72.860876,19.199869,72.860876
3,7186,bandongri,gartan pada,20,200,25037,19.199869,72.860876,19.199869,72.860876
4,7186,bandongri,general arun kumar vaidya marg junction,10,50,25037,19.199869,72.860876,19.199869,72.860876
5,7186,bandongri,goddev naka,5,75,25037,19.199869,72.860876,19.199869,72.860876
6,7186,bandongri,golden chemicals,39,390,25037,19.199869,72.860876,19.199869,72.860876
7,7186,bandongri,kashi mira,85,850,25037,19.199869,72.860876,19.199869,72.860876
8,7186,bandongri,kurar village,6,30,25037,19.199869,72.860876,19.199869,72.860876
9,7186,bandongri,magathane depot,32,160.06,25037,19.199869,72.860876,19.199869,72.860876
10,7186,bandongri,magathane telecom exchange,13,65,25037,19.199869,72.860876,19.199869,72.860876
11,7186,bandongri,mahindra company gate or b h a d colony,3,15,25037,19.199869,72.860876,19.199869,72.860876
12,7186,bandongri,nency colony,5,25,25037,19.199869,72.860876,19.199869,72.860876
13,7186,bandongri,omkareshwar mandir,73,365.06,25037,19.199869,72.860876,19.199869,72.860876
14,7186,bandongri,s k stone,36,540,25037,19.199869,72.860876,19.199869,72.860876
15,7186,bandongri,swatantraveer savarkar chowk or golden nest,35,525,25037,19.199869,72.860876,19.199869,72.860876
16,7186,bandongri,transport corporation,19,190,25037,19.199869,72.860876,19.199869,72.860876
17,7186,bhayandar station east,bandongri,10,150,29063,19.312319,72.853463,19.312319,72.853463
18,7186,bhayandar station east,bhayander phatak or police station,98,490,29063,19.312319,72.853463,19.312319,72.853463
19,7186,bhayandar station east,dindoshi bus station,61,1220,29063,19.312319,72.853463,19.312319,72.853463
20,7186,bhayandar station east,gartan pada,43,430,29063,19.312319,72.853463,19.312319,72.853463
21,7186,bhayandar station east,general arun kumar vaidya marg junction,9,180,29063,19.312319,72.853463,19.312319,72.853463
22,7186,bhayandar station east,goddev naka,28,140,29063,19.312319,72.853463,19.312319,72.853463
23,7186,bhayandar station east,golden chemicals,51,510,29063,19.312319,72.853463,19.312319,72.853463
24,7186,bhayandar station east,kashi mira,282,2820,29063,19.312319,72.853463,19.312319,72.853463
25,7186,bhayandar station east,kurar village,15,300,29063,19.312319,72.853463,19.312319,72.853463
26,7186,bhayandar station east,magathane depot,9,135,29063,19.312319,72.853463,19.312319,72.853463
27,7186,bhayandar station east,magathane telecom exchange,4,60,29063,19.312319,72.853463,19.312319,72.853463
28,7186,bhayandar station east,mahindra company gate or b h a d colony,28,420,29063,19.312319,72.853463,19.312319,72.853463
29,7186,bhayandar station east,nency colony,4,60,29063,19.312319,72.853463,19.312319,72.853463
30,7186,bhayandar station east,omkareshwar mandir,5,75,29063,19.312319,72.853463,19.312319,72.853463
31,7186,bhayandar station east,s k stone,1092,5460,29063,19.312319,72.853463,19.312319,72.853463
32,7186,bhayandar station east,swatantraveer savarkar chowk or golden nest,185,925,29063,19.312319,72.853463,19.312319,72.853463
33,7186,bhayandar station east,transport corporation,24,240,29063,19.312319,72.853463,19.312319,72.853463
34,7186,dindoshi bus station,bandongri,103,515.06,25060,19.176148,72.865701,19.176148,72.865701
